ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,ANIO,MES,DECADA,CLUSTER
293,1965-05-12,94238,-14.002,-76.54,37,5.0,20223006,1965,5,1960,1
294,1965-05-20,95515,-3.77,-80.76,30,4.9,20223006,1965,5,1960,2
295,1965-05-29,42516,-10.1,-74.4,33,4.6,20223006,1965,5,1960,1
296,1965-06-03,121231,-13.9,-76.4,82,4.7,20223006,1965,6,1960,1
297,1965-06-04,145334,-9.166,-78.961,72,4.8,20223006,1965,6,1960,2
298,1965-06-05,204110,-13.74,-71.6,73,4.7,20223006,1965,6,1960,3
299,1965-06-08,54650,-4.01,-78.2,33,4.7,20223006,1965,6,1960,2
300,1965-06-18,33750,-4.67,-80.6,33,4.7,20223006,1965,6,1960,2
301,1965-06-18,224518,-11.217,-73.661,111,5.6,20223006,1965,6,1960,3
302,1965-06-21,104641,-3.67,-77.89,25,4.9,20223006,1965,6,1960,2
303,1965-06-24,32949,-18.375,-70.133,85,5.3,20223006,1965,6,1960,3
304,1965-06-24,165405,-15.62,-70.61,191,4.8,20223006,1965,6,1960,3
305,1965-06-26,55514,-9.124,-72.975,49,4.9,20223006,1965,6,1960,1
306,1965-06-27,170905,-2.634,-77.018,121,5.3,20223006,1965,6,1960,0
307,1965-06-30,81544,-14.638,-75.948,38,4.5,20223006,1965,6,1960,1
308,1965-07-02,10948,-7.65,-76.93,42,4.9,20223006,1965,7,1960,2
309,1965-07-02,22816,-7.75,-76.9,49,4.9,20223006,1965,7,1960,2
310,1965-07-08,235119,-9.7,-79.7,33,4.8,20223006,1965,7,1960,2
311,1965-07-09,174641,-7.7,-80.8,33,4.9,20223006,1965,7,1960,2
312,1965-07-13,175802,-13.2,-75.1,102,4.5,20223006,1965,7,1960,1
313,1965-07-13,223449,-3.2,-77.7,90,4.9,20223006,1965,7,1960,2
314,1965-07-14,122957,-17.65,-69.42,141,5.3,20223006,1965,7,1960,3
315,1965-07-15,83124,-6.6,-80.9,36,4.9,20223006,1965,7,1960,2
316,1965-07-23,151324,-8.868,-79.43,48,5.5,20223006,1965,7,1960,2
317,1965-07-24,121608,-3.5,-78.1,33,4.7,20223006,1965,7,1960,2
318,1965-07-28,194247,-15.7,-73.9,92,4.6,20223006,1965,7,1960,1
319,1965-07-30,54518,-18.139,-70.823,74,5.6,20223006,1965,7,1960,3
320,1965-07-30,121107,-15.1,-70.8,192,4.6,20223006,1965,7,1960,3
321,1965-08-01,43641,-4.88,-80.9,66,4.5,20223006,1965,8,1960,2
322,1965-08-01,61359,-16.7,-71.4,97,4.6,20223006,1965,8,1960,3
